"Category","Order","Stage_or_Item","MATLAB_function_or_setting","Default_value_or_location","Inputs","Outputs","Purpose_or_description","Notes"
"Pipeline","0","Master runner","CARE_Full_MARA_QC_MVGC_Pipeline_Run.m","/Users/janet/Documents/TDSEM Developmental Calibration Research/scripts/CARE_Full_MARA_QC_MVGC_Pipeline_Run.m","Name-value options; TaskReady files; QC masks; MVGC toolbox functions","TaskReady files; QC mask files; MVGC CSV outputs; task-specific manifests","Standardized wrapper that runs MARA preprocessing, mathematical QC, and ROI-level MVGC with pseudo-dyad permutation nulls.","Run in MATLAB after adding the scripts folder to the path."
"Argument","1","TaskReadyDir","TaskReadyDir","/Users/janet/Desktop/Preprocessing/Preprocessing_fNIRS_StepA/Mara/Mara_TaskReady","Folder containing raw TXT data and later *_TaskReady.mat files","Used by MARA, QC, and MVGC stages","Defines the main working/data directory for the fNIRS pipeline.","Can be overridden with CARE_Full_MARA_QC_MVGC_Pipeline_Run('TaskReadyDir', path)."
"Argument","2","QCDir","QCDir","/Users/janet/Desktop/Preprocessing/Preprocessing_fNIRS_StepA/Mara/QC_MATH","TaskReady files from TaskReadyDir","*_TaskReady_QC.mat; QC_channel_table.csv; QC_segment_table.csv","Defines the central folder for mathematical QC masks and QC summary tables.","Created automatically by the master runner if missing and DryRun is false."
"Argument","3","RunMARA","RunMARA","true","Raw concentration TXT files; parent.SD; fNIRS_Task_Marker_Manipulated.csv","*_Convert2DoD.mat; *_MARA_Conc.mat; QC_Plots/*.png; *_TaskReady.mat","Controls whether the MARA and TaskReady generation stage is run.","Set false to preserve existing TaskReady files and run only QC/MVGC."
"Argument","4","RunQC","RunQC","true","*_TaskReady.mat files","*_TaskReady_QC.mat; QC_channel_table.csv; QC_segment_table.csv","Controls whether mathematical QC and channel keep-mask generation is run.","QC is needed before MVGC because MVGC uses the saved keep masks."
"Argument","5","RunMVGC","RunMVGC","true","*_TaskReady.mat files; *_TaskReady_QC.mat files; MVGC toolbox","GC_*.csv outputs; permutation outputs; GC_pipeline_manifest_*.csv","Controls whether ROI-level MVGC and pseudo-dyad null analyses are run.","Runs once for each task listed in Tasks."
"Argument","6","Tasks","Tasks","{'ST','FT'}","Task labels in outTask structures","Task-specific MVGC output folders","Defines which task contexts are analyzed by MVGC.","Only ST and FT are accepted by the master runner."
"Argument","7","DryRun","DryRun","false","Configuration only","Printed expected output paths","Checks and prints what the pipeline would run without modifying files.","Useful before rerunning a pipeline when you do not want to overwrite or regenerate files."
"Stage","1","MARA + TaskReady generation","CARE_MARA_TaskReady_Run.m","TaskReadyDir","*.txt; parent.SD; fNIRS_Task_Marker_Manipulated.csv","*_Convert2DoD.mat; *_MARA_Conc.mat; QC_Plots/*.png; *_TaskReady.mat","Parses Shimadzu concentration TXT files, separates parent and child Hb signals, applies MARA motion correction, optionally applies WTC denoising, creates QC plots, and segments data into baseline/structured/free-task TaskReady files.","MARA is run on reshaped time-by-66 data and reshaped back to time-by-3-by-22 concentration arrays."
"Stage","1a","TXT to concentration structure","Internal Stage A in CARE_MARA_TaskReady_Run.m","fs = 1/0.135; 22 channels; 3 chromophores","Raw TXT concentration files; parent.SD","*_Convert2DoD.mat","Reads raw concentration rows, separates parent and child signals, and stores HbO/HbR/HbT as nTime-by-3-by-22 arrays.","Parent and child are assumed to use the same 22-channel layout."
